EVENT_ID,BEGIN_DATE,time_location_x,EVENT_TYPE,MAGNITUDE,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE,FLOOD_CAUSE,date_state,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Event Type,Number of Customers Affected,state,time_location_y
553860,12/11/14,2014-12-11  6:00:00 | California,Flood, ,100000,0,California,Heavy Rain,2014-12-11 | California,12/11/14,6:40:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 6:00:00 | California
553860,12/11/14,2014-12-11  6:00:00 | California,Flood, ,100000,0,California,Heavy Rain,2014-12-11 | California,12/11/14,7:21:00,12/11/14,21:53:00,Distribution Interruption - Unknown Cause,75000,California,2014-12-11 7:00:00 | California
553860,12/11/14,2014-12-11  6:00:00 | California,Flood, ,100000,0,California,Heavy Rain,2014-12-11 | California,12/11/14,23:15:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 23:00:00 | California
553917,12/11/14,2014-12-11  6:00:00 | California,Flood, ,300000,0,California,Heavy Rain,2014-12-11 | California,12/11/14,6:40:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 6:00:00 | California
553917,12/11/14,2014-12-11  6:00:00 | California,Flood, ,300000,0,California,Heavy Rain,2014-12-11 | California,12/11/14,7:21:00,12/11/14,21:53:00,Distribution Interruption - Unknown Cause,75000,California,2014-12-11 7:00:00 | California
553917,12/11/14,2014-12-11  6:00:00 | California,Flood, ,300000,0,California,Heavy Rain,2014-12-11 | California,12/11/14,23:15:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 23:00:00 | California
553864,12/11/14,2014-12-11  6:00:00 | California,Flood, ,0,0,California,Heavy Rain,2014-12-11 | California,12/11/14,6:40:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 6:00:00 | California
553864,12/11/14,2014-12-11  6:00:00 | California,Flood, ,0,0,California,Heavy Rain,2014-12-11 | California,12/11/14,7:21:00,12/11/14,21:53:00,Distribution Interruption - Unknown Cause,75000,California,2014-12-11 7:00:00 | California
553864,12/11/14,2014-12-11  6:00:00 | California,Flood, ,0,0,California,Heavy Rain,2014-12-11 | California,12/11/14,23:15:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 23:00:00 | California
553863,12/11/14,2014-12-11  6:00:00 | California,Flood, ,0,0,California,Heavy Rain,2014-12-11 | California,12/11/14,6:40:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 6:00:00 | California
553863,12/11/14,2014-12-11  6:00:00 | California,Flood, ,0,0,California,Heavy Rain,2014-12-11 | California,12/11/14,7:21:00,12/11/14,21:53:00,Distribution Interruption - Unknown Cause,75000,California,2014-12-11 7:00:00 | California
553863,12/11/14,2014-12-11  6:00:00 | California,Flood, ,0,0,California,Heavy Rain,2014-12-11 | California,12/11/14,23:15:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 23:00:00 | California
547278,12/11/14,2014-12-11  6:00:00 | California,Flood, ,1000,0,California,Heavy Rain,2014-12-11 | California,12/11/14,6:40:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 6:00:00 | California
547278,12/11/14,2014-12-11  6:00:00 | California,Flood, ,1000,0,California,Heavy Rain,2014-12-11 | California,12/11/14,7:21:00,12/11/14,21:53:00,Distribution Interruption - Unknown Cause,75000,California,2014-12-11 7:00:00 | California
547278,12/11/14,2014-12-11  6:00:00 | California,Flood, ,1000,0,California,Heavy Rain,2014-12-11 | California,12/11/14,23:15:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 23:00:00 | California
551650,12/11/14,2014-12-11  6:00:00 | California,High Wind,62,0,0,California, ,2014-12-11 | California,12/11/14,6:40:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 6:00:00 | California
551650,12/11/14,2014-12-11  6:00:00 | California,High Wind,62,0,0,California, ,2014-12-11 | California,12/11/14,7:21:00,12/11/14,21:53:00,Distribution Interruption - Unknown Cause,75000,California,2014-12-11 7:00:00 | California
551650,12/11/14,2014-12-11  6:00:00 | California,High Wind,62,0,0,California, ,2014-12-11 | California,12/11/14,23:15:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 23:00:00 | California
553862,12/11/14,2014-12-11  7:00:00 | California,Flood, ,0,0,California,Heavy Rain,2014-12-11 | California,12/11/14,6:40:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 6:00:00 | California
553862,12/11/14,2014-12-11  7:00:00 | California,Flood, ,0,0,California,Heavy Rain,2014-12-11 | California,12/11/14,7:21:00,12/11/14,21:53:00,Distribution Interruption - Unknown Cause,75000,California,2014-12-11 7:00:00 | California
553862,12/11/14,2014-12-11  7:00:00 | California,Flood, ,0,0,California,Heavy Rain,2014-12-11 | California,12/11/14,23:15:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 23:00:00 | California
553167,12/11/14,2014-12-11  7:00:00 | California,High Wind,61,200000,0,California, ,2014-12-11 | California,12/11/14,6:40:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 6:00:00 | California
553167,12/11/14,2014-12-11  7:00:00 | California,High Wind,61,200000,0,California, ,2014-12-11 | California,12/11/14,7:21:00,12/11/14,21:53:00,Distribution Interruption - Unknown Cause,75000,California,2014-12-11 7:00:00 | California
553167,12/11/14,2014-12-11  7:00:00 | California,High Wind,61,200000,0,California, ,2014-12-11 | California,12/11/14,23:15:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 23:00:00 | California
553859,12/11/14,2014-12-11  7:00:00 | California,Flood, ,250000,0,California,Heavy Rain,2014-12-11 | California,12/11/14,6:40:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 6:00:00 | California
553859,12/11/14,2014-12-11  7:00:00 | California,Flood, ,250000,0,California,Heavy Rain,2014-12-11 | California,12/11/14,7:21:00,12/11/14,21:53:00,Distribution Interruption - Unknown Cause,75000,California,2014-12-11 7:00:00 | California
